1;arms_factory;2952.00;11.25;1366.00;4.40;0
1;arms_factory;2952.00;11.25;1366.00;5.96;0
1;arms_factory;2943.00;10.35;1366.00;2.34;0
1;arms_factory;2947.00;10.23;1359.00;0.18;0
1;arms_factory;2947.00;10.23;1359.00;1.39;0
1;arms_factory;2949.00;10.05;1372.00;4.40;0
1;industrial_complex;2947.00;11.32;1362.00;0.79;0
1;industrial_complex;2948.00;9.63;1353.00;4.91;0
1;industrial_complex;2948.00;9.63;1353.00;0.18;0
1;industrial_complex;2951.00;11.65;1367.00;2.85;0
1;industrial_complex;2947.00;13.50;1366.00;0.69;0
1;industrial_complex;2947.00;13.50;1366.00;1.90;0
1;air_base;2950.00;11.53;1358.00;4.91;0
1;naval_base;2954.00;9.68;1364.00;0.98;5579
1;naval_base;2941.00;9.50;1367.00;-1.19;5579
1;naval_base;2944.00;9.50;1354.00;-0.79;5579
1;bunker;2948.00;9.80;1354.00;3.36;0
1;bunker;2950.00;12.30;1366.00;4.57;0
1;bunker;2945.00;12.03;1368.00;2.41;0
1;coastal_bunker;2955.00;9.50;1364.00;0.98;0
1;coastal_bunker;2951.00;9.75;1355.00;-0.79;0
1;coastal_bunker;2943.00;9.90;1371.00;-2.60;0
1;dockyard;2955.00;9.55;1365.00;0.98;0
1;anti_air_building;2947.00;11.32;1362.00;3.87;0
1;anti_air_building;2948.00;9.63;1353.00;5.08;0
1;anti_air_building;2952.00;11.32;1367.00;2.92;0
1;synthetic_refinery;2952.00;11.32;1367.00;5.58;0
1;radar_station;2948.00;13.38;1365.00;2.53;0
1;rocket_site;2949.00;13.23;1367.00;3.52;0
1;nuclear_reactor;2945.00;9.73;1360.00;1.36;0
2;arms_factory;3012.00;10.15;1352.00;2.34;0
2;arms_factory;3004.00;9.68;1354.00;0.18;0
2;arms_factory;2993.00;9.75;1366.00;1.39;0
2;arms_factory;3002.00;10.53;1372.00;4.40;0
2;arms_factory;3011.00;11.30;1359.00;0.79;0
2;arms_factory;2999.00;10.23;1366.00;4.91;0
2;industrial_complex;3005.00;9.95;1357.00;0.18;0
2;industrial_complex;3022.00;9.95;1350.00;2.85;0
2;industrial_complex;2995.00;11.35;1373.00;0.69;0
2;industrial_complex;3019.00;12.90;1363.00;1.90;0
2;industrial_complex;2996.00;10.50;1370.00;4.91;0
2;industrial_complex;3003.00;10.55;1371.00;1.29;0
2;air_base;3006.00;10.53;1364.00;3.96;0
2;naval_base;2986.00;9.50;1368.00;-0.90;5579
2;naval_base;2997.00;9.50;1358.00;-0.93;5656
2;naval_base;3003.00;9.50;1352.00;-0.46;5656
2;naval_base;3010.00;9.50;1347.00;0.32;1452
2;naval_base;3020.00;9.50;1347.00;0.17;1452
2;bunker;2996.00;9.85;1364.00;0.35;0
2;bunker;3010.00;9.75;1352.00;4.47;0
2;bunker;3005.00;10.05;1358.00;0.85;0
2;bunker;3023.00;11.10;1353.00;3.87;0
2;bunker;2998.00;10.48;1371.00;5.08;0
2;bunker;3014.00;12.28;1360.00;2.92;0
2;bunker;3008.00;12.18;1370.00;5.58;0
2;coastal_bunker;3022.00;9.50;1347.00;0.17;0
2;coastal_bunker;3007.00;9.50;1351.00;-0.90;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;coastal_bunker;2992.00;9.50;1362.00;-0.93;0
2;coastal_bunker;3001.00;9.50;1353.00;-0.46;0
2;dockyard;3015.00;9.50;1348.00;0.32;0
2;anti_air_building;2990.00;9.68;1367.00;4.64;0
2;anti_air_building;3014.00;9.60;1349.00;2.48;0
2;anti_air_building;3020.00;12.30;1361.00;4.03;0
2;synthetic_refinery;3002.00;10.00;1366.00;0.41;0
2;radar_station;3006.00;10.45;1362.00;5.35;0
2;rocket_site;3019.00;10.35;1351.00;0.92;0
2;nuclear_reactor;2997.00;11.05;1373.00;1.02;0
3;arms_factory;2934.00;15.85;1452.00;1.39;0
3;arms_factory;2923.00;13.48;1444.00;4.40;0
3;arms_factory;2921.00;12.95;1444.00;0.79;0
3;arms_factory;2915.00;10.60;1460.00;4.91;0
3;arms_factory;2924.00;14.48;1454.00;0.18;0
3;arms_factory;2922.00;15.15;1441.00;2.85;0
3;industrial_complex;2911.00;10.48;1451.00;0.69;0
3;industrial_complex;2920.00;13.53;1450.00;1.90;0
3;industrial_complex;2927.00;16.08;1442.00;4.91;0
3;industrial_complex;2915.00;10.40;1443.00;1.29;0
3;industrial_complex;2914.00;10.25;1459.00;3.96;0
3;industrial_complex;2929.00;12.50;1460.00;0.34;0
3;air_base;2921.00;15.13;1440.00;3.36;0
3;bunker;2922.00;12.00;1457.00;4.57;0
3;bunker;2931.00;13.80;1458.00;2.41;0
3;bunker;2922.00;13.50;1447.00;0.25;0
3;bunker;2931.00;15.55;1451.00;0.35;0
3;bunker;2907.00;10.18;1451.00;4.47;0
3;bunker;2911.00;10.48;1451.00;0.85;0
3;bunker;2923.00;15.98;1440.00;3.87;0
3;bunker;2917.00;11.10;1462.00;5.08;0
